"","Coccothraustes coccothraustes","Columba palumbus","Corvus corax","Corvus corone","Cyanistes caeruleus","Dendrocopos major","Emberiza cia","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Garrulus glandarius","Lophophanes cristatus","Loxia curvirostra","Parus ater","Parus major","Phoenicurus ochruros","Phoenicurus phoenicurus","Pica pica","Sitta europaea","Sylvia atricapilla","Sylvia borin","Sylvia cantillans","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus torquatus","Turdus viscivorus"
"Amelanchier ovalis",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis vulgaris",0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
"Crataegus monogyna",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
"Daphne laureola",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hedera helix",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
"Juniperus communis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
"Juniperus oxycedrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Juniperus phoenicea",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
"Juniperus sabina",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
"Lonicera arborea",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1
"Lonicera splendida",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paeonia officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Prunus mahaleb",1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1
"Rhamnus alaternus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Rhamnus saxatilis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Rosa canina",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"Sorbus aria",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"Taxus baccata",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
